x y
98.51369873682039 298.433909783635
1408.7786992488177 796.1384472814785
805.827653570897 417.2013336633875
115.38942605400297 284.9050322658139
405.589112799478 1207.5909341634429
417.66268673383536 1201.0557413754136
90.88846446358026 296.33001511357367
990.6600574367942 891.1091652465773
410.85318418973065 1196.2890440724402
1395.6094606874067 792.6993994310678
1003.4687404721337 901.1863353815141
1002.9727959232998 916.6949221927266
989.5357158379996 881.9067919941956
796.5753171061705 387.0089874380182
996.7369081317371 902.5858213844351
1001.0629196936707 901.6627620130976
102.64000352791894 301.7722247363314
798.9320599768425 410.75282889567285
1008.1221433388439 906.284478909446
800.3182222603518 392.15410435960575
405.59672202251636 1190.851776381315
794.220443082265 384.17894079815113
1398.5640672103882 801.0886813248144
391.35813553412254 1189.661225781707
803.1521387853608 398.35136051225066
791.7727904868474 394.0222373650697
1006.0389755853192 896.8303576027697
401.456722196138 1187.5117292315563
90.29442180681913 277.1227441543298
97.1334002103433 297.6859283897267
413.7540785653307 1202.511019483876
105.09134888988336 298.8141828294982
107.74875043094069 296.05278712722736
1413.8539554661747 798.2864242493814
797.708391952477 393.4674922362456
1001.4705594853503 904.9066937841915
794.3677547146946 418.48377492071086
399.66100058382256 1202.4561808989397
1380.6748224842022 802.0113425588988
791.7137737766105 412.3598255209412
1393.832167562152 791.9820817250949
1410.8589681207457 798.1760360753065
1391.1330809154133 813.2183129120915
105.4969960303218 302.34280075097683
1422.9431460564178 792.9352762074209
118.31935715486928 291.80377404078524
1406.4314072218076 780.5121810829526
408.14746657322826 1211.706812271603
398.4759971240445 1194.4032856890717
1010.9200085724336 900.9208715713978
